season,analysis_period,FlightDate,period_day,flights,disruption_rate,delay15_rate,cancellation_rate,diversion_rate
2025-2026,Jan 15-30 Baseline,2026-01-25,10,18675,69.70281124497993,23.052208835341364,46.48460508701472,0.16599732262382866
2023-2024,Jan 15-30 Baseline,2024-01-15,0,18620,58.02900107411385,41.611170784103116,15.907626208378087,0.5102040816326531
2023-2024,Jan 15-30 Baseline,2024-01-16,1,16530,57.77979431336963,44.79733817301875,12.770719903206293,0.21173623714458562
2025-2026,Jan 15-30 Baseline,2026-01-26,11,18042,57.47699811550826,30.168495732180467,27.120053209178586,0.1884491741492074
2025-2026,Thanksgiving Week,2025-11-30,7,21576,49.04523544679273,44.9851687059696,3.8515016685205787,0.20856507230255839
2025-2026,Christmas Week,2025-12-28,7,19999,42.532126606330316,38.831941597079854,3.300165008250412,0.40002000100005003
2024-2025,New Year's Week,2024-12-29,0,20203,42.335296738108205,40.226699005098254,1.564124139979211,0.544473593030738
2025-2026,Jan 15-30 Baseline,2026-01-27,12,16191,41.5230683713174,27.533815082453216,13.859551602742265,0.12970168612191957
2025-2026,Christmas Week,2025-12-27,6,19153,41.1058319845455,36.64177935571451,4.082911293269984,0.3811413355610087
2023-2024,Jan 15-30 Baseline,2024-01-19,4,18698,40.68349556102257,35.25510749812814,5.203765108567762,0.22462295432666596
2025-2026,New Year's Week,2025-12-29,0,20079,40.26594949947707,37.0287364908611,3.047960555804572,0.189252452811395
2025-2026,Jan 15-30 Baseline,2026-01-24,9,15463,40.03104184181595,18.86438595356658,21.06318308219621,0.10347280605315916
2024-2025,Christmas Week,2024-12-28,7,19463,39.197451574782924,37.09089040743976,1.6903868879412218,0.4161742794019422
2025-2026,Thanksgiving Week,2025-11-29,6,20216,38.88998812821527,30.17411950929956,8.374554808072814,0.34131381084289675
2025-2026,Christmas Week,2025-12-26,5,20028,35.86978230477332,29.563610944677453,6.001597763131616,0.30457359696425
